issn,journal_title,oa_model,apc,year,publisher
2162-3279,Brain and Behavior,Open Access,3000,2022,wiley
1750-3639,Brain Pathology,Open Access,3700,2022,wiley
2468-2322,CAAI Transactions on Intelligence Technology ,Open Access,2200,2022,wiley
1891-1803,Campbell Systematic Reviews ,Open Access,0,2022,wiley
2523-3548,Cancer Communications,Open Access,2800,2022,wiley
2770-9183,Cancer Innovation,Open Access,0,2022,wiley
2045-7634,Cancer Medicine,Open Access,3700,2022,wiley
2573-8348,Cancer Reports,Open Access,2700,2022,wiley
1349-7006,Cancer Science,Open Access,2600,2022,wiley
2637-9368,Carbon Energy,Open Access,3000,2022,wiley
2769-3325,Carbon Neutralization,Open Access,0,2022,wiley
1365-2184,Cell Proliferation,Open Access,3500,2022,wiley
2628-9725,Chemistry Methods,Open Access,0,2022,wiley
2191-1363,ChemistryOpen,Open Access,2420,2022,wiley
2589-0514,Chronic Diseases and Translational Medicine,Open Access,2650,2022,wiley
2692-4587,Climate Resilience and Sustainability,Open Access,2200,2022,wiley
2050-0068,Clinical & Translational Immunology,Open Access,2420,2022,wiley
2057-4347,Clinical and Experimental Dental Research,Open Access,2700,2022,wiley
2045-7022,Clinical and Translational Allergy,Open Access,2900,2022,wiley
2768-0622,Clinical and Translational Discovery ,Open Access,2300,2022,wiley
2001-1326,Clinical and Translational Medicine,Open Access,3300,2022,wiley
1752-8062,Clinical and Translational Science,Open Access,3300,2022,wiley
1932-8737,Clinical Cardiology,Open Access,3000,2022,wiley
2050-0904,Clinical Case Reports,Open Access,1500,2022,wiley
1755-5949,CNS Neuroscience & Therapeutics,Open Access,3100,2022,wiley
2517-7567,Cognitive Computation and Systems,Open Access,2200,2022,wiley
2692-9430,Community Science,Open Access,2000,2022,wiley
2689-9655,Computational and Systems Oncology,Open Access,2900,2022,wiley
1755-263X,Conservation Letters,Open Access,2800,2022,wiley
2578-4854,Conservation Science and Practice,Open Access,1850,2022,wiley
2163-8306,CPT: Pharmacometrics & Systems Pharmacology,Open Access,3000,2022,wiley
2770-1328,Deep Underground Science and Engineering,Open Access,0,2022,wiley
2692-4609,DEN Open,Open Access,2500,2022,wiley
1472-4642,Diversity and Distributions,Open Access,2700,2022,wiley
2731-4375,Droplet,Open Access,0,2022,wiley
2333-5084,Earth and Space Science,Open Access,2100,2022,wiley
2328-4277,Earth's Future,Open Access,2200,2022,wiley
1600-0587,Ecography,Open Access,2750,2022,wiley
2688-8319,Ecological Solutions and Evidence,Open Access,2100,2022,wiley
2045-7758,Ecology and Evolution,Open Access,2200,2022,wiley
2567-3173,EcoMat,Open Access,3500,2022,wiley
2150-8925,Ecosphere,Open Access,2100,2022,wiley
1831-4732,EFSA Journal,Open Access,2400,2022,wiley
2666-3066,eFood,Open Access,0,2022,wiley
2688-6146,eJhaem,Open Access,2250,2022,wiley
2698-5977,Electrochemical Science Advances  ,Open Access,2100,2022,wiley
1350-911X,Electronics Letters,Open Access,2310,2022,wiley
1757-4684,EMBO Molecular Medicine,Open Access,5300,2022,wiley
2398-9238,"Endocrinology, Diabetes & Metabolism",Open Access,2700,2022,wiley
2634-1581,Energy Conversion and Economics ,Open Access,0,2022,wiley
2050-0505,Energy Science & Engineering,Open Access,2300,2022,wiley
2398-6182,Engineering Biology,Open Access,2200,2022,wiley
1618-2863,Engineering in Life Sciences,Open Access,2600,2022,wiley
2577-8196,Engineering Reports,Open Access,1650,2022,wiley
2637-4943,Environmental DNA,Open Access,2500,2022,wiley
2470-9239,Epilepsia Open,Open Access,2700,2022,wiley
2055-5822,ESC Heart Failure,Open Access,4100,2022,wiley
2056-3744,Evolution Letters,Open Access,2500,2022,wiley
1752-4571,Evolutionary Applications,Open Access,3400,2022,wiley
2766-2098,Exploration,Open Access,4500,2022,wiley
2573-9832,FASEB BioAdvances,Open Access,2420,2022,wiley
2211-5463,FEBS Open Bio,Open Access,1950,2022,wiley
2048-3694,Food and Energy Security,Open Access,3300,2022,wiley
2770-2081,Food Bioengineering,Open Access,0,2022,wiley
2643-8429,Food Frontiers,Open Access,5000,2022,wiley
2048-7177,Food Science & Nutrition,Open Access,3000,2022,wiley
2770-2030,Future Humanities,Open Access,1550,2022,wiley
1757-1707,GCB Bioenergy,Open Access,2500,2022,wiley
1601-183X,"Genes, Brain and Behavior",Open Access,2900,2022,wiley
2054-4049,Geo: Geography and Environment,Open Access,2200,2022,wiley
1525-2027,"Geochemistry, Geophysics, Geosystems",Open Access,2750,2022,wiley
2471-1403,GeoHealth,Open Access,2100,2022,wiley
2049-6060,Geoscience Data Journal,Open Access,1800,2022,wiley
2056-6646,Global Challenges,Open Access,3000,2022,wiley
2770-1743,Grassland Research,Open Access,0,2022,wiley
2771-1757,Health Care Science,Open Access,0,2022,wiley
1369-7625,Health Expectations,Open Access,3300,2022,wiley
2398-8835,Health Science Reports,Open Access,2700,2022,wiley
2053-3713,Healthcare Technology Letters,Open Access,2200,2022,wiley
2471-254X,Hepatology Communications,Open Access,2700,2022,wiley
2397-7264,High Voltage,Open Access,2200,2022,wiley
1097-0193 ,Human Brain Mapping,Open Access,3500,2022,wiley
2769-2795,Ibrain,Open Access,0,2022,wiley
2047-4946,IET Biometrics,Open Access,2200,2022,wiley
2634-1573,IET Blockchain,Open Access,0,2022,wiley
1751-8598,"IET Circuits, Devices & Systems",Open Access,2200,2022,wiley
2516-8398,IET Collaborative Intelligent Manufacturing,Open Access,2200,2022,wiley
1751-8636,IET Communications ,Open Access,2200,2022,wiley
1751-9640,IET Computer Vision,Open Access,2200,2022,wiley
1751-861X,IET Computers & Digital Techniques,Open Access,2200,2022,wiley
1751-8652,IET Control Theory & Applications,Open Access,3300,2022,wiley
2398-3396,IET Cyber-Physical Systems: Theory & Applications,Open Access,2200,2022,wiley
2631-6315,IET Cyber-Systems and Robotics,Open Access,0,2022,wiley
1751-8679,IET Electric Power Applications,Open Access,2800,2022,wiley
2042-9746,IET Electrical Systems in Transportation,Open Access,2200,2022,wiley
2516-8401,IET Energy Systems Integration,Open Access,2200,2022,wiley
1751-8695,"IET Generation, Transmission & Distribution ",Open Access,2800,2022,wiley
1751-9667,IET Image Processing,Open Access,2300,2022,wiley
1751-8717,IET Information Security,Open Access,2200,2022,wiley
1751-9578,IET Intelligent Transport Systems,Open Access,2300,2022,wiley
1751-8733,"IET Microwaves, Antennas & Propagation",Open Access,2300,2022,wiley
1751-875X,IET Nanobiotechnology,Open Access,2200,2022,wiley
2514-3255,IET Nanodielectrics,Open Access,2200,2022,wiley
2047-4962,IET Networks,Open Access,2200,2022,wiley
1751-8776 ,IET Optoelectronics,Open Access,2200,2022,wiley
1755-4543,IET Power Electronics ,Open Access,2800,2022,wiley
2632-8925,IET Quantum Communication,Open Access,0,2022,wiley
1751-8792,"IET Radar, Sonar & Navigation",Open Access,2400,2022,wiley
1752-1424,IET Renewable Power Generation,Open Access,3300,2022,wiley
1751-8830,"IET Science, Measurement & Technology",Open Access,2200,2022,wiley
1751-9683,IET Signal Processing,Open Access,2200,2022,wiley
2631-7680,IET Smart Cities,Open Access,2200,2022,wiley
2515-2947,IET Smart Grid,Open Access,2200,2022,wiley
1751-8814,IET Software,Open Access,2200,2022,wiley
1751-8857,IET Systems Biology,Open Access,2200,2022,wiley
2043-6394,IET Wireless Sensor Systems,Open Access,2200,2022,wiley
2577-171X,IJU Case Reports,Open Access,1000,2022,wiley
2770-596X,iMeta,Open Access,0,2022,wiley
2050-4527,"Immunity, Inflammation and Disease",Open Access,3000,2022,wiley
2510-5345,ImmunoMedicine,Open Access,2500,2022,wiley
1750-2659,Influenza and Other Respiratory Viruses,Open Access,4000,2022,wiley
2567-3165,InfoMat,Open Access,3500,2022,wiley
2767-441X,Interdisciplinary Materials,Open Access,3500,2022,wiley
2578-3270,International Journal of Ceramic Engineering & Science,Open Access,1800,2022,wiley
2767-1402,International Journal of Mechanical System Dynamics,Open Access,4000,2022,wiley
1557-0657,International Journal of Methods in Pyschiatric Research,Open Access,3200,2022,wiley
1742-481X,International Wound Journal,Open Access,3100,2022,wiley
2475-8876,Japan Architectural Review,Open Access,1500,2022,wiley
2473-4039,JBMR Plus,Open Access,2600,2022,wiley
2692-9384,JCPP Advances ,Open Access,2705,2022,wiley
2521-3555,JCSM Clinical Reports,Open Access,2100,2022,wiley
2617-1619,JCSM Rapid Communications,Open Access,2100,2022,wiley
2768-6566,JEADV Clinical Practice,Open Access,2700,2022,wiley
2397-9070,JGH Open ,Open Access,2000,2022,wiley
2192-8312,JIMD Reports,Open Access,2000,2022,wiley
2572-1143,JOR Spine,Open Access,2250,2022,wiley
1942-2466,Journal of Advances in Modeling Earth Systems,Open Access,2100,2022,wiley
1526-9914,Journal of Applied Clinical Medical Physics,Open Access,650,2022,wiley
1883-2148,Journal of Arrhythmia,Open Access,1540,2022,wiley
1600-048X,Journal of Avian Biology,Open Access,2650,2022,wiley
2190-6009,"Journal of Cachexia, Sarcopenia and Muscle",Open Access,4250,2022,wiley
1582-4934,Journal of Cellular and Molecular Medicine,Open Access,4100,2022,wiley
1098-2825,Journal of Clinical Laboratory Analysis,Open Access,2700,2022,wiley
2574-4593,Journal of Cutaneous Immunology and Allergy,Open Access,2800,2022,wiley
1753-0407,Journal of Diabetes ,Open Access,3000,2022,wiley
2040-1124,Journal of Diabetes Investigation,Open Access,3850,2022,wiley
2768-2811,Journal of Extracellular Biology,Open Access,3100,2022,wiley
2001-3078,Journal of Extracellular Vesicles ,Open Access,4000,2022,wiley
1753-318x,Journal of Flood Risk Management,Open Access,2700,2022,wiley
2189-7948,Journal of General and Family Medicine,Open Access,2500,2022,wiley
2051-3909,Journal of Medical Radiation Sciences,Open Access,2300,2022,wiley
1348-9585 ,Journal of Occupational Health,Open Access,800,2022,wiley
2767-035X,Journal of Sustainable Agriculture and Environment,Open Access,2400,2022,wiley
1600-5775,Journal of Synchrotron Radiation ,Open Access,2500,2022,wiley
2668-1152,Journal of the American College of Emergency Physicians Open,Open Access,2200,2022,wiley
2047-9980,Journal of the American Heart Association,Open Access,3700,2022,wiley
1758-2652,Journal of the International AIDS Society ,Open Access,2600,2022,wiley
1939-1676,Journal of Veterinary Internal Medicine,Open Access,2000,2022,wiley
1749-7345,Journal of World Aquaculture Society,Open Access,2100,2022,wiley
2378-8038,Laryngoscope Investigative Otolaryngology,Open Access,2400,2022,wiley
2379-6146,Learning Health Systems,Open Access,2200,2022,wiley
2639-6181,Legume Science,Open Access,2800,2022,wiley
2688-3740,Lifestyle Medicine,Open Access,2500,2022,wiley
2378-2242,Limnology and Oceanography Letters,Open Access,3000,2022,wiley
2642-3561,Liver Cancer International,Open Access,2900,2022,wiley
2770-9140,Malignancy Spectrum,Open Access,0,2022,wiley
1942-5120,Marine and Coastal Fisheries,Open Access,2400,2022,wiley
1740-8709,Maternal & Child Nutrition,Open Access,3300,2022,wiley
2688-2663,MedComm,Open Access,2900,2022,wiley
2769-643X,MedComm - Biomaterials and Applications,Open Access,0,2022,wiley
2769-6456,MedComm - Future Medicine ,Open Access,0,2022,wiley
2769-6448,MedComm – Oncology ,Open Access,0,2022,wiley
2642-3588,Mental Health Science,Open Access,2400,2022,wiley
1469-8080,Meteorological Applications,Open Access,2400,2022,wiley
1750-0443,Micro & Nano Letters,Open Access,2200,2022,wiley
1751-7915,Microbial Biotechnology,Open Access,3200,2022,wiley
2045-8827,MicrobiologyOpen,Open Access,3000,2022,wiley
2770-100X,mLife,Open Access,0,2022,wiley
2324-9269,Molecular Genetics & Genomic Medicine,Open Access,2700,2022,wiley
1878-0261,Molecular Oncology,Open Access,3800,2022,wiley
1364-3703,Molecular Plant Pathology,Open Access,3100,2022,wiley
1744-4292,Molecular Systems Biology,Open Access,5300,2022,wiley
2688-4011,Nano Select,Open Access,2300,2022,wiley
1939-7445,Natural Resource Modeling ,Open Access,1800,2022,wiley
2698-6248,Natural Sciences,Open Access,0,2022,wiley
2574-173X,Neuropsychopharmacology Reports,Open Access,2280,2022,wiley
2054-1058,Nursing Open,Open Access,2800,2022,wiley
2055-2238,Obesity Science & Practice,Open Access,2800,2022,wiley
1757-7861,Orthopaedic Surgery,Open Access,2500,2022,wiley
2637-3807,Paediatric and Neonatal Pain,Open Access,2800,2022,wiley
2574-2272,Pediatric Investigation,Open Access,2000,2022,wiley
2575-8314,People and Nature,Open Access,2200,2022,wiley
2052-1707,Pharmacology Research & Perspectives,Open Access,3500,2022,wiley
2051-817X,Physiological Reports,Open Access,1850,2022,wiley
1467-7652,Plant Biotechnology Journal,Open Access,3400,2022,wiley
2475-4455,Plant Direct,Open Access,2200,2022,wiley
2575-6265,Plant-Environment Interactions,Open Access,2100,2022,wiley
2572-2611,"Plants, People, Planet",Open Access,2500,2022,wiley
2770-5846,Portal Hypertension & Cirrhosis,Open Access,3000,2022,wiley
2642-2514,Precision Medical Sciences,Open Access,2400,2022,wiley
2398-7324,Precision Radiation Oncology,Open Access,0,2022,wiley
2575-5609,Psychiatric Research and Clinical Practice ,Open Access,2700,2022,wiley
2769-2558,Psychiatry and Clinical Neurosciences Reports,Open Access,2500,2022,wiley
2769-2450,Public Health Challenges,Open Access,2400,2022,wiley
2045-8940,Pulmonary Circulation,Open Access,2200,2022,wiley
1759-7331,Quantitative Economics,Open Access,0,2022,wiley
2056-3485,Remote Sensing in Ecology and Conservation,Open Access,3000,2022,wiley
1447-0578,Reproductive Medicine and Biology,Open Access,1850,2022,wiley
2768-7228,"Reproductive, Female and Child Health",Open Access,2400,2022,wiley
2475-0379,Research and Practice in Thrombosis and Haemostasis,Open Access,2000,2022,wiley
2051-3380,Respirology Case Reports,Open Access,1000,2022,wiley
2767-1429,Rheumatology & Autoimmunity,Open Access,3000,2022,wiley
2690-442X,Skin Health and Disease,Open Access,2200,2022,wiley
1600-0846,Skin Research and Technology,Open Access,2400,2022,wiley
2688-4046,Small Science,Open Access,5000,2022,wiley
2688-819X,SmartMat,Open Access,4000,2022,wiley
1542-7390,Space Weather,Open Access,2650,2022,wiley
2690-3857,SPE Polymers,Open Access,2000,2022,wiley
2694-5746,STROKE: Vascular and Interventional Neurology,Open Access,2300,2022,wiley
2692-4552,SusMat,Open Access,0,2022,wiley
2327-6096,The Bulletin of the Ecological Society of America,Open Access,0,2022,wiley
1752-699X,The Clinical Respiratory Journal,Open Access,2000,2022,wiley
2055-4877,The Depositional Record,Open Access,2400,2022,wiley
1751-7176,The Journal of Clinical Hypertension,Open Access,3000,2022,wiley
2051-3305,The Journal of Engineering,Open Access,1650,2022,wiley
2056-4538,The Journal of Pathology: Clinical Research,Open Access,2700,2022,wiley
2410-8650,The Kaohsiung Journal of Medical Sciences,Open Access,0,2022,wiley
1940-3372,The Plant Genome,Open Access,2125,2022,wiley
2578-2703,The Plant Phenome Journal,Open Access,2000,2022,wiley
1555-7561,Theoretical Economics,Open Access,0,2022,wiley
1759-7714,Thoracic Cancer,Open Access,2750,2022,wiley
2052-4986,Transactions of the London Mathematical Society,Open Access,1500,2022,wiley
2627-1850,Translational Biophotonics,Open Access,2400,2022,wiley
2050-6414,United European Gastroenterology Journal,Open Access,2930,2022,wiley
2575-1220,Urban Agriculture & Regional Food Systems,Open Access,1100,2022,wiley
1539-1663,Vadose Zone Journal ,Open Access,2075,2022,wiley
2053-1095,Veterinary Medicine and Science,Open Access,3200,2022,wiley
2052-6113,Veterinary Record Open,Open Access,2100,2022,wiley
2688-268X,View ,Open Access,4000,2022,wiley
1903-220X,Wildlife Biology,Open Access,2200,2022,wiley
1099-1824,Wind Energy,Open Access,2800,2022,wiley
2589-1081,World Journal of Otorhinolaryngology - Head and Neck Surgery,Open Access,2650,2022,wiley
1468-0343,Economics & Politics,Hybrid,2850,2022,wiley
2577-6983,Economics of Transition and Institutional Change,Hybrid,2650,2022,wiley
1745-3992,Educational Measurement: Issues and Practices,Hybrid,3000,2022,wiley
1741-5446,Educational Theory,Hybrid,2550,2022,wiley
1520-6416,Electrical Engineering in Japan,Hybrid,2550,2022,wiley
1521-4109,Electroanalysis,Hybrid,3350,2022,wiley
1942-9541,Electronics and Communications in Japan ,Hybrid,2550,2022,wiley
1522-2683,ELECTROPHORESIS,Hybrid,4000,2022,wiley
1469-3178,EMBO Reports,Hybrid,6100,2022,wiley
1742-6723,Emergency Medicine Australasia,Hybrid,3300,2022,wiley
2578-4862,Energy Storage,Hybrid,3050,2022,wiley
2194-4296,Energy Technology,Hybrid,4100,2022,wiley
1570-7458,Entomologia Experimentalis et Applicata,Hybrid,4100,2022,wiley
1748-5967,Entomological Research,Hybrid,3000,2022,wiley
1479-8298,Entomological Science,Hybrid,3300,2022,wiley
1098-2280,Environmental and Molecular Mutagenesis,Hybrid,3300,2022,wiley
1462-2920,Environmental Microbiology,Hybrid,4200,2022,wiley
1758-2229,Environmental Microbiology Reports,Hybrid,3600,2022,wiley
1756-9338,Environmental Policy and Governance,Hybrid,3350,2022,wiley
1944-7450,Environmental Progress & Sustainable Energy,Hybrid,3550,2022,wiley
1520-6483,Environmental Quality Management,Hybrid,3050,2022,wiley
1522-7278,Environmental Toxicology,Hybrid,4000,2022,wiley
1552-8618,Environmental Toxicology and Chemistry,Hybrid,3300,2022,wiley
1099-095X,Environmetrics,Hybrid,4200,2022,wiley
1528-1167,Epilepsia,Hybrid,3950,2022,wiley
1365-2338,EPPO Bulletin,Hybrid,3050,2022,wiley
2042-3292,Equine Veterinary Education,Hybrid,3650,2022,wiley
2042-3306,Equine Veterinary Journal,Hybrid,3950,2022,wiley
2578-2363,Ethics & Human Research,Hybrid,2850,2022,wiley
1439-0310,Ethology,Hybrid,4100,2022,wiley
1548-1352,Ethos,Hybrid,3000,2022,wiley
1746-692X,EuroChoices,Hybrid,3050,2022,wiley
1099-0968,European Eating Disorders Review,Hybrid,4200,2022,wiley
1468-036X,European Financial Management,Hybrid,2950,2022,wiley
1365-2354,European Journal of Cancer Care,Hybrid,4700,2022,wiley
1365-2362,European Journal of Clinical Investigation,Hybrid,3600,2022,wiley
1600-0579,European Journal of Dental Education,Hybrid,3900,2022,wiley
1465-3435,European Journal of Education,Hybrid,2950,2022,wiley
1600-0609,European Journal of Haematology,Hybrid,4100,2022,wiley
1879-0844,European Journal of Heart Failure,Hybrid,4900,2022,wiley
1521-4141,European Journal of Immunology,Hybrid,4000,2022,wiley
1099-0682,European Journal of Inorganic Chemistry,Hybrid,3750,2022,wiley
1438-9312,European Journal of Lipid Science and Technology,Hybrid,3900,2022,wiley
1468-1331,European Journal of Neurology,Hybrid,4800,2022,wiley
1460-9568,European Journal of Neuroscience,Hybrid,3000,2022,wiley
1600-0722,European Journal of Oral Sciences,Hybrid,3900,2022,wiley
1099-0690,European Journal of Organic Chemistry,Hybrid,4000,2022,wiley
1532-2149,European Journal of Pain,Hybrid,4000,2022,wiley
1468-0378,European Journal of Philosophy,Hybrid,2850,2022,wiley
1475-6765,European Journal of Political Research,Hybrid,3600,2022,wiley
2047-8852,European Journal of Political Research Political Data Yearbook,Hybrid,3000,2022,wiley
1099-0992,European Journal of Social Psychology,Hybrid,3550,2022,wiley
1365-2389,European Journal of Soil Science,Hybrid,4400,2022,wiley
1468-0386,European Law Journal,Hybrid,3150,2022,wiley
1740-4762,European Management Review,Hybrid,2950,2022,wiley
2380-6567,European Policy Analysis,Hybrid,3050,2022,wiley
1558-5646,Evolution,Hybrid,3000,2022,wiley
1525-142X,Evolution & Development,Hybrid,3350,2022,wiley
1520-6505,Evolutionary Anthropology,Hybrid,4400,2022,wiley
1600-0625,Experimental Dermatology,Hybrid,4600,2022,wiley
1469-445X,Experimental Physiology,Hybrid,3900,2022,wiley
1468-0394,Expert Systems,Hybrid,3750,2022,wiley
1552-3934,Family & Consumer Sciences Research Journal,Hybrid,2550,2022,wiley
1744-1617,Family Court Review,Hybrid,2550,2022,wiley
1545-5300,Family Process,Hybrid,3000,2022,wiley
1741-3729,Family Relations,Hybrid,3250,2022,wiley
1460-2695,Fatigue & Fracture of Engineering Materials & Structures,Hybrid,4550,2022,wiley
1873-3468,FEBS Letters,Hybrid,3500,2022,wiley
1522-239X,Feddes Repertorium,Hybrid,2550,2022,wiley
2643-7961,Feminist Anthropology,Hybrid,3000,2022,wiley
1468-0408,Financial Accountability & Management,Hybrid,2550,2022,wiley
1755-053X,Financial Management,Hybrid,2500,2022,wiley
1468-0416,"Financial Markets, Institutions & Instruments",Hybrid,2550,2022,wiley
2573-8615,Financial Planning Review,Hybrid,3050,2022,wiley
1099-1018,Fire and Materials,Hybrid,3650,2022,wiley
1475-5890,Fiscal Studies,Hybrid,3450,2022,wiley
1467-2979,Fish and Fisheries,Hybrid,4400,2022,wiley
1548-8446,Fisheries,Hybrid,3650,2022,wiley
1365-2400,Fisheries Management and Ecology,Hybrid,3900,2022,wiley
1365-2419,Fisheries Oceanography,Hybrid,4100,2022,wiley
1099-1026,Flavour and Fragrance Journal,Hybrid,3650,2022,wiley
1944-9720,Foreign Language Annals,Hybrid,3150,2022,wiley
1439-0329,Forest Pathology,Hybrid,3550,2022,wiley
1521-3978,Fortschritte der Physik,Hybrid,3050,2022,wiley
1365-2427,Freshwater Biology,Hybrid,4800,2022,wiley
1540-9309,Frontiers in Ecology and the Environment,Hybrid,3600,2022,wiley
1615-6854,Fuel Cells,Hybrid,3350,2022,wiley
1365-2435,Functional Ecology,Hybrid,3300,2022,wiley
1472-8206,Fundamental & Clinical Pharmacology,Hybrid,2900,2022,wiley
2573-5152,Futures & Foresight Science,Hybrid,3050,2022,wiley
1522-2608,GAMM - Mitteilungen,Hybrid,3050,2022,wiley
1468-0424,Gender & History,Hybrid,2950,2022,wiley
1468-0432,"Gender, Work & Organisation",Hybrid,4300,2022,wiley
1939-3466,General Anthropology,Hybrid,3000,2022,wiley
1365-2443,Genes to Cells,Hybrid,3800,2022,wiley
1098-2264,"Genes, Chromosomes and Cancer",Hybrid,4700,2022,wiley
1526-968X,Genesis: The Journal of Genetics and Development,Hybrid,3350,2022,wiley
1098-2272,Genetic Epidemiology,Hybrid,3650,2022,wiley
1520-6548,Geoarchaeology,Hybrid,3480,2022,wiley
1472-4669,Geobiology,Hybrid,4300,2022,wiley
1538-4632,Geographical Analysis,Hybrid,3650,2022,wiley
1745-5871,Geographical Research,Hybrid,2950,2022,wiley
1749-8198,Geography Compass (Electronic),Hybrid,3600,2022,wiley
1099-1034,Geological Journal,Hybrid,3650,2022,wiley
1365-2478,Geophysical Prospecting,Hybrid,3650,2022,wiley
1944-8007,Geophysical Research Letters,Hybrid,2700,2022,wiley
1751-908X,Geostandards & Geoanalytical Research,Hybrid,3700,2022,wiley
1447-0594,Geriatrics & Gerontology International,Hybrid,3750,2022,wiley
1468-0483,German Life and Letters,Hybrid,2850,2022,wiley
1741-2358,Gerodontology,Hybrid,3600,2022,wiley
1098-1136,Glia,Hybrid,4800,2022,wiley
1944-9224,Global Biogeochemical Cycles,Hybrid,3600,2022,wiley
1932-2062,Global Business and Organizational Excellence,Hybrid,3050,2022,wiley
1365-2486,Global Change Biology,Hybrid,4000,2022,wiley
1466-8238,Global Ecology and Biogeography,Hybrid,3650,2022,wiley
1471-0374,Global Networks,Hybrid,3750,2022,wiley
1758-5899,Global Policy,Hybrid,3700,2022,wiley
2042-5805,Global Strategy Journal,Hybrid,3000,2022,wiley
1468-0491,Governance,Hybrid,3750,2022,wiley
1365-2494,Grass and Forage Science,Hybrid,4200,2022,wiley
1744-697X,Grassland Science,Hybrid,2750,2022,wiley
2152-3878,Greenhouse Gases: Science and Technology,Hybrid,3300,2022,wiley
1745-6584,Groundwater,Hybrid,3900,2022,wiley
1745-6592,Groundwater Monitoring & Remediation,Hybrid,3450,2022,wiley
1468-2257,Growth and Change,Hybrid,3000,2022,wiley
1365-2516,Haemophilia,Hybrid,4400,2022,wiley
1552-146X,Hastings Center Report,Hybrid,3150,2022,wiley
1097-0347,Head & Neck,Hybrid,4400,2022,wiley
1526-4610,Headache: The Journal of Head and Face Pain,Hybrid,3950,2022,wiley
1365-2524,Health and Social Care in the Community,Hybrid,4800,2022,wiley
1099-1050,Health Economics,Hybrid,4700,2022,wiley
1471-1842,Health Information and Libraries Journal,Hybrid,2850,2022,wiley
2201-1617,Health Promotion Journal of Australia,Hybrid,3150,2022,wiley
1475-6773,Health Services Research,Hybrid,3400,2022,wiley
2688-4542,Heat Transfer,Hybrid,2550,2022,wiley
1523-5378,Helicobacter,Hybrid,3650,2022,wiley
1522-2675,Helvetica Chimica Acta,Hybrid,3550,2022,wiley
1099-1069,Hematological Oncology,Hybrid,4100,2022,wiley
1542-4758,Hemodialysis International,Hybrid,3250,2022,wiley
1527-3350,Hepatology,Hybrid,2900,2022,wiley
1872-034X,Hepatology Research,Hybrid,3400,2022,wiley
1468-2273,Higher Education Quarterly,Hybrid,2550,2022,wiley
1098-1063,Hippocampus,Hybrid,4200,2022,wiley
1365-2559,Histopathology,Hybrid,4700,2022,wiley
1468-229X,History,Hybrid,2550,2022,wiley
1468-2303,History and Theory,Hybrid,3000,2022,wiley
1478-0542,History Compass,Hybrid,2550,2022,wiley
1468-1293,HIV Medicine,Hybrid,3650,2022,wiley
2059-2310,HLA: Immune Response Genetics,Hybrid,4200,2022,wiley
1520-6564,Human Factors and Ergonomics in Manufacturing & Service Industries,Hybrid,3000,2022,wiley
