DOI,Evidence,Licence,OA Status,Title,Authors,Author count,Author count>20,WoS/Scopus Authors,Local author count from WoS/Scopus,Local authors,Corresponding author,Local reprint authors,Corresponding author is local,Journal,Year,Publisher,Is OA,Genre,OA Journal,Version,Host of best version,Green version available,Repositories,Number of repositories,In local repository,In DOAJ,ISSNs,Archive accepted manuscript,Embargo,Archive published version,Published version embargo,Sherpa/Romeo Link,Scopus citations,Crossref citations,Free text url,In WoS,In Scopus,APC charged in DOAJ,DOAJ Currency,DOAJ APC,Publisher Currency,Publisher APC,USD APC,Altmetric,Media stories,Policy documents,Tweets,Altmetric link,Funders,Crossref funders,WoS Subjects,Crossref subjects
10.3390/ani10091447,oa journal (via doaj),,gold,Associations between the Bovine Myostatin Gene and Milk Fatty Acid Composition in New Zealand Holstein-Friesian × Jersey-Cross Cows,"Haruna, Ishaku L.; Li, Yunhai; Ekegbu, Ugonna J.; Amirpour-Najafabadi, Hamed; Zhou, Huitong; Hickford, Jon G. H.",6,No,"[Haruna, Ishaku L.; Li, Yunhai; Ekegbu, Ugonna J.; Amirpour-Najafabadi, Hamed; Zhou, Huitong; Hickford, Jon G. H.] Lincoln Univ, Fac Agr & Life Sci, Dept Agr Sci, Gene Marker Lab, Lincoln 7647, New Zealand Haruna, I.L., Gene-Marker Laboratory, Department of Agricultural Sciences, Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, 7647, New Zealand; Li, Y., Gene-Marker Laboratory, Department of Agricultural Sciences, Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, 7647, New Zealand; Ekegbu, U.J., Gene-Marker Laboratory, Department of Agricultural Sciences, Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, 7647, New Zealand; Amirpour-Najafabadi, H., Gene-Marker Laboratory, Department of Agricultural Sciences, Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, 7647, New Zealand; Zhou, H., Gene-Marker Laboratory, Department of Agricultural Sciences, Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, 7647, New Zealand; Hickford, J.G.H., Gene-Marker Laboratory, Department of Agricultural Sciences, Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, 7647, New Zealand",1,"Haruna, Ishaku L., Li, Yunhai, Ekegbu, Ugonna J., Amirpour-Najafabadi, Hamed, Zhou, Huitong, Hickford, Jon G. H.,","Hickford, JGH (corresponding author), Lincoln Univ, Fac Agr & Life Sci, Dept Agr Sci, Gene Marker Lab, Lincoln 7647, New Zealand.","Hickford, JGH",Yes,Animals,2020,MDPI AG,true,journal-article,true,publishedVersion,publisher,Yes,researcharchive.lincoln.ac.nz ,1,Yes,TRUE,2076-2615 ,Yes,None,Yes,None,https://v2.sherpa.ac.uk/id/publication/18594,,0,https://doi.org/10.3390/ani10091447,Yes,Yes,Yes,CHF,1000,,,1113,0,0,0,0,,,,Agriculture; Veterinary Sciences,
10.1016/j.geodrs.2020.e00315,,,closed,Extractable aluminium in New Zealand Andisols and Inceptisols,"Whitley, Amy E.; Moir, Jim L.; Lehto, Niklas J.; Paramashivam, Dharini",4,No,"[Whitley, Amy E.; Moir, Jim L.; Lehto, Niklas J.; Paramashivam, Dharini] Lincoln Univ, Fac Agr & Life Sci, POB 84, Canterbury, New Zealand Whitley, A.E., Faculty of Agriculture and Life Sciences, Lincoln University, Canterbury, New Zealand; Moir, J.L., Faculty of Agriculture and Life Sciences, Lincoln University, Canterbury, New Zealand; Lehto, N.J., Faculty of Agriculture and Life Sciences, Lincoln University, Canterbury, New Zealand; Paramashivam, D., Faculty of Agriculture and Life Sciences, Lincoln University, Canterbury, New Zealand",1,"Whitley, Amy E., Moir, Jim L., Lehto, Niklas J., Paramashivam, Dharini,","Moir, JL (corresponding author), Lincoln Univ, Fac Agr & Life Sci, POB 84, Canterbury, New Zealand.","Moir, JL",Yes,Geoderma Regional,2020,Elsevier BV,false,journal-article,false,,,No,,0,No,false,2352-0094 ,No data,,Yes,None,,,0,,Yes,Yes,,,,USD,2500,2500,0,0,0,0,,Ballance Agri-Nutrients Ltd.,,Agriculture,Soil Science
10.1016/j.eja.2020.126123,,,closed,Reproductive development in subterranean clover (Trifolium subterraneum L.): A reanalysis of Oceania datasets,"Teixeira, C.S.P.; Hampton, J.G.; Moot, D.J.",3,No,"[Teixeira, C. S. P.; Moot, D. J.] Lincoln Univ, Fac Agr & Life Sci, Field Res Ctr, POB 8504, Lincoln 7647, New Zealand; [Hampton, J. G.] Lincoln Univ, Seed Res Ctr, POB 8504, Lincoln 7647, New Zealand Teixeira, C.S.P., Field Research Centre, Faculty of Agriculture & Life Sciences, Lincoln University, P.O. Box 8504, Lincoln, 7647, New Zealand; Hampton, J.G., Seed Research Centre, Lincoln University, P.O. Box 8504, Lincoln, 7647, New Zealand; Moot, D.J., Field Research Centre, Faculty of Agriculture & Life Sciences, Lincoln University, P.O. Box 8504, Lincoln, 7647, New Zealand",1,"Teixeira, C. S. P., Moot, D. J., Hampton, J. G.,","Teixeira, CSP (corresponding author), Lincoln Univ, Fac Agr & Life Sci, Field Res Ctr, POB 8504, Lincoln 7647, New Zealand.","Teixeira, CSP",Yes,European Journal of Agronomy,2020,Elsevier BV,false,journal-article,false,,,No,,0,No,false,1161-0301 ,Yes,None,No,,https://v2.sherpa.ac.uk/id/publication/13218,1,0,,Yes,Yes,,,,USD,3300,3300,0,0,0,0,,"Sustainable Farming Fund [408090]; Manning Seed Trust; Beef+Lamb New Zealand; MBIE; Seed Force New Zealand; PGG Wrightson Seeds under the Hill Country Futures research programme [BLNZT1701]; BLNZT1701; Ministry of Business, Innovation and Employment, MBIE; Ministry for Business Innovation and Employment, MBIE","Sustainable Farming Fund; Beef+Lamb New Zealand, MBIE, Seed Force New Zealand and PGG Wrightson Seeds under the ",Agriculture,Agronomy and Crop Science; Plant Science; Soil Science
10.1016/j.foodchem.2020.126752,,,closed,Characterisation of the quality alterations in model fat-filled milk powders under inclement conditions and the prediction of the storage time using near infrared spectroscopy,"Ejeahalaka, Kizito Kene; On, Stephen L.W.",2,No,"[Ejeahalaka, Kizito Kene; On, Stephen L. W.] Lincoln Univ, Dept Wine Food & Mol Biosci, POB 7647, Canterbury, New Zealand Ejeahalaka, K.K., Department of Wine, Food and Molecular Biosciences, Lincoln University, P O Box 7647, Canterbury, New Zealand; On, S.L.W., Department of Wine, Food and Molecular Biosciences, Lincoln University, P O Box 7647, Canterbury, New Zealand",1,"Ejeahalaka, Kizito Kene, On, Stephen L. W.,","On, SLW (corresponding author), Lincoln Univ, Dept Wine Food & Mol Biosci, POB 7647, Canterbury, New Zealand.","On, SLW",Yes,Food Chemistry,2020,Elsevier BV,false,journal-article,false,,,No,,0,No,false,0308-8146 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/12825,6,2,,Yes,Yes,,,,USD,2800,2800,0,0,0,0,,Lincoln University,,Chemistry; Food Science & Technology; Nutrition & Dietetics,Food Science; Analytical Chemistry; General Medicine
10.1111/geoj.12346,,,closed,Aptitude or adaptation: What lies at the root of terroir?,"Hill, Rory: Faculty of Environment, Society, and Design Lincoln University Lincoln New Zealand",1,No,"[Hill, Rory] Lincoln Univ, Fac Environm Soc & Design, Lincoln, New Zealand Hill, R., Faculty of Environment, Society, and Design, Lincoln University, Lincoln, New Zealand",1,"Hill, Rory,","Hill, R (corresponding author), Lincoln Univ, Fac Environm Soc & Design, Lincoln, New Zealand.","Hill, R",Yes,The Geographical Journal,2020,Wiley,false,journal-article,false,,,No,,0,No,false,0016-7398 1475-4959 ,Yes,24 months,No,,https://v2.sherpa.ac.uk/id/publication/3775,,2,,Yes,Yes,,,,USD,3000,3000,0.5,0,0,1,http://www.altmetric.com/details.php?citation_id=75313038,,,Geography,Earth-Surface Processes; Geography;  Planning and Development
10.1142/S0219091520500265,,,closed,Working Capital Management and Firm Performance Relationship: An Empirical Investigation of Australasian Firms,"Kayani, Umar Nawaz: College of Business Administration, Al Falah University, Dubai, United Arab Emirates; De Silva, Tracy-Anne: Faculty of Agribusiness and Commerce, Lincoln University, Christchurch, New Zealand; Gan, Christopher: Faculty of Agribusiness and Commerce, Lincoln University, Christchurch, New Zealand",3,No,"[Kayani, Umar Nawaz] Al Falah Univ, Coll Business Adm, Dubai, U Arab Emirates; [De Silva, Tracy-Anne; Gan, Christopher] Lincoln Univ, Fac Agribusiness & Commerce, Christchurch, New Zealand Kayani, U.N., College of Business Administration, Al Falah University, Dubai, United Arab Emirates; de Silva, T.-A., Faculty of Agribusiness and Commerce, Lincoln University, Christchurch, New Zealand; Gan, C., Faculty of Agribusiness and Commerce, Lincoln University, Christchurch, New Zealand",1,"Kayani, Umar Nawaz, De Silva, Tracy-Anne, Gan, Christopher,","Kayani, UN (corresponding author), Al Falah Univ, Coll Business Adm, Dubai, U Arab Emirates.",,No,Review of Pacific Basin Financial Markets and Policies,2020,World Scientific Pub Co Pte Lt,false,journal-article,false,,,No,,0,No,false,0219-0915 1793-6705 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/9758,,0,,Yes,Yes,,,,,,,0,0,0,0,,,,Business & Economics,Economics and Econometrics; Finance
10.3390/su12187646,oa journal (via doaj),cc-by,gold,Mindsets Set in Concrete? Exploring the Perspectives of Domestic Travellers on New Zealand's (Auto-)Mobility Culture,"Juschten, Maria; Page, Shannon; Fitt, Helen",3,No,"[Juschten, Maria] Univ Bodenkultur Wien, Inst Transport Studies, Peter Jordan Str 82, A-1190 Vienna, Austria; [Page, Shannon] Lincoln Univ, Fac Environm Soc & Design, Dept Environm Management, Ellesmere Junct Rd,Springs Rd, Lincoln 7647, New Zealand; [Fitt, Helen] Lincoln Univ, Ctr Excellence: Sustainable Tourism Reg Landscape, Ellesmere Junct Rd,Springs Rd, Lincoln 7647, New Zealand Juschten, M., Institute for Transport Studies, University of Natural Resources and Applied Life Sciences Vienna (BOKU), Peter Jordan Straße 82, Vienna, 1190, Austria; Page, S., Department of Environmental Management, Faculty of Environment, Society and Design, Lincoln University, Ellesmere Junction Road/Springs Road, Lincoln, 7647, New Zealand; Fitt, H., Centre of Excellence: Sustainable Tourism for Regions, Landscapes and Communities, Lincoln University, Ellesmere Junction Road/Springs Road, Lincoln, 7647, New Zealand",1,"Juschten, Maria, Page, Shannon, Fitt, Helen,","Juschten, M (corresponding author), Univ Bodenkultur Wien, Inst Transport Studies, Peter Jordan Str 82, A-1190 Vienna, Austria.",,No,Sustainability,2020,MDPI AG,true,journal-article,true,publishedVersion,publisher,Yes,researcharchive.lincoln.ac.nz RePEc ,2,Yes,TRUE,2071-1050 ,Yes,None,Yes,None,https://v2.sherpa.ac.uk/id/publication/17525,,0,https://res.mdpi.com/d_attachment/sustainability/sustainability-12-07646/article_deploy/sustainability-12-07646.pdf,Yes,Yes,Yes,CHF,1400,,,1559,0,0,0,0,,BOKU Vienna Open Access Publishing Fund,,Science & Technology - Other Topics; Environmental Sciences & Ecology,Renewable Energy;  Sustainability and the Environment; Geography;  Planning and Development; Management;  Monitoring;  Policy and Law
10.3168/jds.2019-17506,open (via crossref license),cc-by-nc-nd,hybrid,Short communication: The relationship between farm debt and dairy productivity and profitability in New Zealand,"Ma, Wanglin; Renwick, Alan; Zhou, Xiaoshi",3,No,"[Ma, Wanglin; Renwick, Alan] Lincoln Univ, Fac Agribusiness & Commerce, Dept Global Value Chains & Trade, Christchurch 7647, Lincoln, New Zealand; [Zhou, Xiaoshi] Nanjing Univ Sci & Technol, Sch Econ & Management, Nanjing 210094, Peoples R China Ma, W., Department of Global Value Chains and Trade, Faculty of Agribusiness and Commerce, Lincoln University, Christchurch, Lincoln  7647, New Zealand; Renwick, A., Department of Global Value Chains and Trade, Faculty of Agribusiness and Commerce, Lincoln University, Christchurch, Lincoln  7647, New Zealand; Zhou, X., School of Economics and Management, Nanjing University of Science and Technology, Nanjing, 210094, China",1,"Ma, Wanglin, Renwick, Alan","Ma, WL (corresponding author), Lincoln Univ, Fac Agribusiness & Commerce, Dept Global Value Chains & Trade, Christchurch 7647, Lincoln, New Zealand.","Ma, WL",Yes,Journal of Dairy Science,2020,American Dairy Science Association,true,journal-article,false,publishedVersion,publisher,Yes,researcharchive.lincoln.ac.nz ,1,Yes,false,0022-0302 1525-3198 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/13843,1,1,http://www.journalofdairyscience.org/article/S0022030220305191/pdf,Yes,Yes,,,,USD,3500,3500,0,0,0,0,,"New Zealand dairy farmers through DairyNZ; Ministry for Primary Industries in the Transforming the Dairy Value Chain Primary Growth Partnership Programme; Ministry for Primary Industries, MPI; Ministry for Primary Industries, MPI",,Agriculture; Food Science & Technology,Food Science; Animal Science and Zoology; Genetics
10.1111/1477-9552.12375,,,closed,A Note: Reducing Cropland Abandonment in China – Do Agricultural Cooperatives Play a Role?,"Ma, Wanglin; Zhu, Zhongkun",2,No,"[Ma, Wanglin] Lincoln Univ, Fac Agribusiness & Commerce, Dept Global Value Chains & Trade, Christchurch, New Zealand; [Zhu, Zhongkun] Peking Univ, Natl Sch Dev, Beijing, Peoples R China Ma, W., Department of Global Value Chains and Trade, Faculty of Agribusiness and Commerce, Lincoln University, Christchurch, New Zealand; Zhu, Z., National School of Development, Peking University, Beijing, China",1,"Ma, Wanglin","Ma, WL (corresponding author), Lincoln Univ, Fac Agribusiness & Commerce, Dept Global Value Chains & Trade, Christchurch, New Zealand.","Ma, WL",Yes,Journal of Agricultural Economics,2020,Wiley,false,journal-article,false,,,No,,0,No,false,0021-857X 1477-9552 ,Yes,24 months,No,,https://v2.sherpa.ac.uk/id/publication/2559,6,6,,Yes,Yes,,,,USD,3000,3000,0,0,0,0,,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71903062]; Lincoln University commerce faculty seed fund project [INT5066]; INT5066; National Natural Science Foundation of China, NSFC: 71903062",National Natural Science Foundation of China,Agriculture; Business & Economics,Agricultural and Biological Sciences (miscellaneous); Economics and Econometrics
10.1093/erae/jbz042,,,closed,The spatial variation of switching rates in large cooperative membership bases: empirical evidence from the dairy sector,"Viergutz, Tim: Department of Agricultural Economics and Rural Development, University of Goettingen, Germany; Zubek, Nana: Department of Agricultural Economics, University of Kiel, Germany; Schulze-Ehlers, Birgit: Department of Global Value Chains and Trade, Lincoln University, New Zealand, Department of Agricultural Economics and Rural Development, University of Goettingen, Germany",3,No,"[Viergutz, Tim; Schulze-Ehlers, Birgit] Univ Goettingen, Dept Agr Econ & Rural Dev, Gottingen, Germany; [Zubek, Nana] Univ Kiel, Dept Agr Econ, Kiel, Germany; [Schulze-Ehlers, Birgit] Lincoln Univ, Dept Global Value Chains & Trade, Lincoln, New Zealand Viergutz, T., Department of Agricultural Economics and Rural Development, University of Goettingen, Germany; Zubek, N., Department of Agricultural Economics, University of Kiel, Germany; Schulze-Ehlers, B., Department of Agricultural Economics and Rural Development, University of Goettingen, Germany, Department of Global Value Chains and Trade, Lincoln University, New Zealand",1,"Viergutz, Tim, Schulze-Ehlers, Birgit, Zubek, Nana,","Viergutz, T (corresponding author), Univ Goettingen, Dept Agr Econ & Rural Dev, Gottingen, Germany.",,No,European Review of Agricultural Economics,2019,Oxford University Press (OUP),false,journal-article,false,,,No,,0,No,false,0165-1587 1464-3618 ,Yes,24 months,No,,https://v2.sherpa.ac.uk/id/publication/421,,0,,Yes,Yes,,,,USD,4100,4100,0,0,0,0,,,,Agriculture; Business & Economics,Agricultural and Biological Sciences (miscellaneous); Economics and Econometrics
10.3390/plants9091185,oa journal (via doaj),,gold,Role of Organic Anions and Phosphatase Enzymes in Phosphorus Acquisition in the Rhizospheres of Legumes and Grasses Grown in a Low Phosphorus Pasture Soil,"Touhami, Driss; McDowell, Richard W.; Condron, Leo M.",3,No,"[Touhami, Driss; McDowell, Richard W.; Condron, Leo M.] Lincoln Univ, Fac Agr & Life Sci, POB 85084, Christchurch 7647, New Zealand; [Touhami, Driss] Mohammed VI Polytech Univ UM6P, AgroBioSci Program, Hay Moulay Rachid 43150, Ben Guerir, Morocco; [McDowell, Richard W.] AgResearch Ltd, Lincoln Res Ctr, Private Bag 4749, Christchurch, New Zealand Touhami, D., Faculty of Agriculture and Life Sciences, Lincoln University, P.O. Box 85084, Lincoln, Christchurch, 7647, New Zealand, AgroBioSciences Program, Mohammed VI Polytechnic University (UM6P), Hay Moulay Rachid, Ben Guerir, 43150, Morocco; McDowell, R.W., Faculty of Agriculture and Life Sciences, Lincoln University, P.O. Box 85084, Lincoln, Christchurch, 7647, New Zealand, AgResearch Limited, Lincoln Research Centre, Private Bag 4749, Christchurch, New Zealand; Condron, L.M., Faculty of Agriculture and Life Sciences, Lincoln University, P.O. Box 85084, Lincoln, Christchurch, 7647, New Zealand",1,"Touhami, Driss, McDowell, Richard W., Condron, Leo M.","Touhami, D (corresponding author), Lincoln Univ, Fac Agr & Life Sci, POB 85084, Christchurch 7647, New Zealand.; Touhami, D (corresponding author), Mohammed VI Polytech Univ UM6P, AgroBioSci Program, Hay Moulay Rachid 43150, Ben Guerir, Morocco.","Touhami, D",Yes,Plants,2020,MDPI AG,true,journal-article,true,publishedVersion,publisher,Yes,researcharchive.lincoln.ac.nz ,1,Yes,TRUE,2223-7747 ,Yes,None,Yes,None,https://v2.sherpa.ac.uk/id/publication/24818,2,2,https://doi.org/10.3390/plants9091185,Yes,Yes,Yes,CHF,550,,,612,1,0,0,2,http://www.altmetric.com/details.php?citation_id=90649057,"Mohammed VI Polytechnic University of Benguerir (UM6P); Office Cherifien des Phosphates (OCP), Morocco; Our Land and Water National Science Challenge via the New Zealand Ministry for Business, Innovation, and Employment [C10X1507]; Université Mohammed VI Polytechnique, UM6P; Ministry of Business, Innovation and Employment, MBIE; Ministry for Business Innovation and Employment, MBIE: C10X1507",,Plant Sciences,
10.3390/W12092322,oa journal (via doaj),cc-by,gold,The Relationship between Soil Moisture and Soil Water Repellency Persistence in Hydrophobic Soils,"Bayad, Mohamed; Chau, Henry Wai; Trolove, Stephen; Moir, Jim; Condron, Leo; Bouray, Moussa",6,No," Bayad, M., Department of Soil and Physical Sciences, Lincoln University, Christchurch, 7647, New Zealand, AgroBioSciences Program, Mohammed VI Polytechnic University, Benguerir, 43150, Morocco; Chau, H.W., Department of Soil and Physical Sciences, Lincoln University, Christchurch, 7647, New Zealand; Trolove, S., The New Zealand Institute for Plant and Food Research Limited, Private Bag 140, Havelock North, 4157, New Zealand; Moir, J., Department of Soil and Physical Sciences, Lincoln University, Christchurch, 7647, New Zealand; Condron, L., Department of Soil and Physical Sciences, Lincoln University, Christchurch, 7647, New Zealand; Bouray, M., Department of Soil and Physical Sciences, Lincoln University, Christchurch, 7647, New Zealand, AgroBioSciences Program, Mohammed VI Polytechnic University, Benguerir, 43150, Morocco",5,"Bayad, M.; Chau, H.W.; Moir, J.; Condron, L.; Bouray, M.","Chau, H.W.; Department of Soil and Physical Sciences, New Zealand; email: henry.chau@lincoln.ac.nz","Chau, H.W.",Yes,Water,2020,MDPI AG,true,journal-article,true,publishedVersion,publisher,Yes,researcharchive.lincoln.ac.nz ,1,Yes,TRUE,2073-4441 ,Yes,None,Yes,None,https://v2.sherpa.ac.uk/id/publication/17529,2,2,https://www.mdpi.com/2073-4441/12/9/2322/pdf,No,Yes,Yes,CHF,1500,,,1670,0,0,0,0,,,,,Geography;  Planning and Development; Aquatic Science; Biochemistry; Water Science and Technology
10.1002/jeq2.20129,open (via crossref license),cc-by,hybrid,"Global Research Alliance N 2 O chamber methodology guidelines: Recommendations for air sample collection, storage, and analysis","Harvey, M. J.: National Institute of Water and Atmospheric Research  PO Box 14-901 Kilbirnie Wellington 6241 New Zealand; Sperlich, P.: National Institute of Water and Atmospheric Research  PO Box 14-901 Kilbirnie Wellington 6241 New Zealand; Clough, T. J.: Dep. of Soil and Physical Sciences Lincoln Univ.  PO Box 84 Lincoln 7647 New Zealand; Kelliher, F. M.: Dep. of Soil and Physical Sciences Lincoln Univ.  PO Box 84 Lincoln 7647 New Zealand; McGeough, K. L.: Agri-Environment Branch Agri-Food and Biosciences Institute  Belfast BT9 5PX Northern Ireland; Martin, R. J.: National Institute of Water and Atmospheric Research  PO Box 14-901 Kilbirnie Wellington 6241 New Zealand; Moss, R.: National Institute of Water and Atmospheric Research  PO Box 14-901 Kilbirnie Wellington 6241 New Zealand",7,No,"[Harvey, M. J.; Sperlich, P.; Martin, R. J.; Moss, R.] Natl Inst Water & Atmospher Res, POB 14-901, Wellington 6241, New Zealand; [Clough, T. J.; Kelliher, F. M.] Lincoln Univ, Dept Soil & Phys Sci, POB 84, Lincoln 7647, New Zealand; [McGeough, K. L.] Agri Food & Biosci Inst, Agri Environm Branch, Belfast BT9 5PX, Antrim, North Ireland Harvey, M.J., National Institute of Water and Atmospheric Research, PO Box 14-901, Kilbirnie, Wellington, 6241, New Zealand; Sperlich, P., National Institute of Water and Atmospheric Research, PO Box 14-901, Kilbirnie, Wellington, 6241, New Zealand; Clough, T.J., Dep. of Soil and Physical Sciences, Lincoln Univ., PO Box 84, Lincoln, 7647, New Zealand; Kelliher, F.M., Dep. of Soil and Physical Sciences, Lincoln Univ., PO Box 84, Lincoln, 7647, New Zealand; McGeough, K.L., Agri-Environment Branch, Agri-Food and Biosciences Institute, Belfast, BT9 5PX, United Kingdom; Martin, R.J., National Institute of Water and Atmospheric Research, PO Box 14-901, Kilbirnie, Wellington, 6241, New Zealand; Moss, R., National Institute of Water and Atmospheric Research, PO Box 14-901, Kilbirnie, Wellington, 6241, New Zealand",1,"Harvey, M. J., Sperlich, P., Martin, R. J., Moss, R., Clough, T. J., Kelliher, F. M.","Harvey, MJ (corresponding author), Natl Inst Water & Atmospher Res, POB 14-901, Wellington 6241, New Zealand.",,No,Journal of Environmental Quality,2020,Wiley,true,journal-article,false,publishedVersion,publisher,No,,0,No,false,0047-2425 1537-2537 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/17989,3,1,https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jeq2.20129,Yes,Yes,,,,,,,5.4,0,0,7,http://www.altmetric.com/details.php?citation_id=88733053,Global Research Alliance,,Environmental Sciences & Ecology,Environmental Engineering; Waste Management and Disposal; Pollution; Management;  Monitoring;  Policy and Law; Water Science and Technology
10.1007/s10340-020-01259-x,oa repository (via OAI-PMH doi match),,green,Expanding general surveillance of invasive species by integrating citizens as both observers and identifiers,"Pawson, S. M.; Sullivan, J. J.; Grant, A.",3,No,"[Pawson, S. M.; Grant, A.] Scion New Zealand Forest Res Inst Ltd, 10 Kyle St, Christchurch, New Zealand; [Pawson, S. M.] Univ Canterbury, Sch Forestry, Christchurch, New Zealand; [Sullivan, J. J.] Lincoln Univ, Fac Agr & Life Sci, Canterbury, New Zealand Pawson, S.M., Scion (New Zealand Forest Research Institute Ltd), 10 Kyle Street, Riccarton, Christchurch, New Zealand, School of Forestry, University of Canterbury, Christchurch, New Zealand; Sullivan, J.J., Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, Canterbury, New Zealand; Grant, A., Scion (New Zealand Forest Research Institute Ltd), 10 Kyle Street, Riccarton, Christchurch, New Zealand",1,"Pawson, S. M., Grant, A., Sullivan, J. J.,","Pawson, SM (corresponding author), Scion New Zealand Forest Res Inst Ltd, 10 Kyle St, Christchurch, New Zealand.; Pawson, SM (corresponding author), Univ Canterbury, Sch Forestry, Christchurch, New Zealand.",,No,Journal of Pest Science,2020,Springer Science and Business Media LLC,true,journal-article,false,submittedVersion,repository,Yes,ir.canterbury.ac.nz ,1,No,false,1612-4758 1612-4766 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/8075,1,3,https://ir.canterbury.ac.nz/bitstream/10092/101616/3/Pawson%20et%20al_FindaPest_Final_Report_V3.0_Revised_JPestSci_29-4-2020.pdf,Yes,Yes,,,,USD,3000,3000,1.5,0,0,4,http://www.altmetric.com/details.php?citation_id=86630580,"Ministry of Business, Innovation and Employment (New Zealand's Biological Heritage NSC) [C09X1501]; Biosecurity New Zealand; New Zealand Forest Owners Association; Kiwifruit Vine Health/Zespri; Envirolink Tools (Environment Southland); Auckland Council; National Science Council, NSC: C09X1501; Ministry of Business, Innovation and Employment, MBIE","New Zealand Ministry of Business, Innovation, and Employment; Envirolink Tools; New Zealand Forest Owners Association; Zespri",Entomology,Agronomy and Crop Science
10.1016/j.lwt.2020.109811,,,closed,Common ash (Fraxinus excelsior L.) seeds as a new vegetable oil source,"Naderi, Mehran; Torbati, Mohammadali; Azadmard-Damirchi, Sodeif; Asnaashari, Solmaz; Savage, Geoffrey P.",5,No,"[Naderi, Mehran; Torbati, Mohammadali] Tabriz Univ Med Sci, Fac Nutr, Dept Food Sci & Technol, Tabriz, Iran; [Azadmard-Damirchi, Sodeif] Univ Tabriz, Fac Agr, Dept Food Sci & Technol, Tabriz, Iran; [Azadmard-Damirchi, Sodeif] Tabriz Univ Med Sci, Hlth Management & Safety Promot Res Inst, Food & Drug Safety Res Ctr, Tabriz, Iran; [Asnaashari, Solmaz] Tabriz Univ Med Sci, Biotechnol Res Ctr, Tabriz, Iran; [Savage, Geoffrey P.] Lincoln Univ, Dept Wine Food & Mol Biosci, Food Grp, Canterbury, New Zealand Naderi, M., Department of Food Science and Technology, Faculty of Nutrition, Tabriz University of Medical Sciences, Tabriz, Iran; Torbati, M., Department of Food Science and Technology, Faculty of Nutrition, Tabriz University of Medical Sciences, Tabriz, Iran; Azadmard-Damirchi, S., Department of Food Science and Technology, Faculty of Agriculture, University of Tabriz, Tabriz, Iran, Food and Drug Safety Research Center, Health Management and Safety Promotion Research Institute, Tabriz University of Medical Sciences, Tabriz, Iran; Asnaashari, S., Biotechnology Research Center, Tabriz University of Medical Sciences, Tabriz, Iran; Savage, G.P., Food Group, Department of Wine, Food and Molecular Biosciences, Lincoln University, Canterbury, New Zealand",1,"Naderi, Mehran, Torbati, Mohammadali, Azadmard-Damirchi, Sodeif, Asnaashari, Solmaz, Savage, Geoffrey P.,","Torbati, M (corresponding author), Tabriz Univ Med Sci, Fac Nutr, Dept Food Sci & Technol, Tabriz, Iran.",,No,LWT,2020,Elsevier BV,false,journal-article,false,,,No,,0,No,false,0023-6438 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/15846,1,1,,Yes,Yes,,,,USD,3000,3000,0,0,0,0,,"Vice Chancellor of Tabriz University of Medical Sciences; Tabriz University of Medical Sciences, TUOMS",Tabriz University of Medical Sciences,Food Science & Technology,Food Science
