"DOI","Error"
"10.1111/jbi.13953","Line did not execute"
"10.1111/jne.12830","Line did not execute"
"10.1128/AEM.01651-20","Line did not execute"
"10.1128/AEM.01905-19","Line did not execute"
"10.1128/AEM.1613-20","Invalid DOI"
"10.1163/15700631-12511296","Line did not execute"
"10.1177/0004867420954290","Line did not execute"
"10.1177/1177180120929694","Line did not execute"
"10.1177/1362361320939329","Line did not execute"
"10.1177/1609406920953752","Line did not execute"
"10.1177/8755293020919426","Line did not execute"
"10.1183/13993003.00170-2020","Line did not execute"
"10.1186/s12877-020-01740-3","Line did not execute"
"10.1186/s12885-020-6671-4","Line did not execute"
"10.1186/s41927-020-00120-z","Line did not execute"
"10.1200/GO.20.00028","Line did not execute"
"10.1364/CLEO_QELS.2020.FTh3J.8","Line did not execute"
"10.1364/OL.385751","Line did not execute"
"10.1371/journal.pone.0243794","Line did not execute"
"10.15451/EC2020-05-9.13-1-27","Line did not execute"
"10.15619/NZJP/48.1.05","Line did not execute"
"10.15663/wje.v25vi1.783","Invalid DOI"
"10.18293/SEKE2020-083","Invalid DOI"
"10.18293/SEKE2020-159","Invalid DOI"
"10.19272/202011402007","Invalid DOI"
"10.20507/MAIJournal.2020.9.2.2","Line did not execute"
"10.20507/MAIJournal.2020.9.2.3","Line did not execute"
"10.20507/MAIJournal.2020.9.2.7","Line did not execute"
"10.20507/MAIJournal.2020.9.3.6","Line did not execute"
"10.20507/MAIJournal.2020.9.3.8","Line did not execute"
"10.2196//formative.7257","Invalid DOI"
"10.22074/cellj.2020.6492","DOI not in crossref"
"10.25035/IJARE.12.03.07","Line did not execute"
"10.3389/fnmol.2020.552073","Line did not execute"
"10.3390/cancers12092472","Line did not execute"
"10.3390/fermentation6010027","Line did not execute"
"10.3390/ijms21093284","Line did not execute"
"10.3390/ijms21134710","Line did not execute"
"10.3390/mps3040071","Line did not execute"
